row_id,phrase_score
614,0.7536
615,0.354
616,0.354
617,0.9493
618,-0.0392
619,0.4567
620,0.0
621,-0.8595
622,0.9274
623,0.0
624,-0.7852
625,-0.1972
626,0.0
627,0.0
628,-0.6908
629,-0.6908
630,0.4019
631,0.9136
632,0.9136
633,0.9869
634,0.0
635,0.0
636,0.0
637,0.9869
638,0.9274
639,-0.296
640,0.4767
641,0.0
642,0.9779
643,0.9779
644,0.5719
645,0.5719
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,-0.5789
652,-0.5789
653,0.5849
654,0.0
655,0.9371
656,0.4754
657,0.8126
658,0.25
659,0.25
660,0.0
661,0.995
662,0.8979
663,0.8979
664,0.0
665,0.8986
666,0.0
667,-0.9022
668,-0.5859
669,-0.9253
670,-0.7351
671,0.9304
672,-0.9423
673,0.9034
674,0.0
675,0.0
676,-0.8131
677,-0.9423
678,0.8072
679,0.7579
680,0.7579
681,0.9992
682,0.9274
683,0.6691
684,-0.7351
685,0.9993
686,0.7351
687,0.9994
688,-0.2411
689,0.0765
690,0.308
691,-0.2337
692,0.9274
693,0.9227
694,0.8625
695,0.8625
696,-0.9468
697,0.3612
698,0.3612
699,-0.9081
700,0.3612
701,-0.8779
702,-0.9081
703,-0.6486
704,0.3612
705,-0.6298
706,0.5859
707,0.5859
708,-0.0772
709,-0.0772
710,0.9081
711,0.9081
712,-0.9578
713,-0.9578
714,0.8271
715,0.9933
716,0.34
717,-0.128
718,-0.9867
719,0.9231
720,0.7967
721,0.7967
722,0.4215
723,0.5719
724,0.5719
725,0.9684
726,0.9236
727,0.6956
728,0.6722
729,-0.1779
730,-0.8462
731,-0.9813
732,-0.9081
733,-0.9081
734,0.9595
735,0.9595
736,-0.8074
737,0.9886
738,-0.7684
739,0.9565
740,0.9729
741,-0.7269
742,-0.7269
743,0.9081
744,0.886
745,-0.9349
746,-0.8818
747,-0.8818
748,-0.9349
749,0.9832
750,-0.6367
751,0.8625
752,0.8625
753,0.8885
754,0.9801
755,0.8824
756,0.8824
757,0.9931
758,-0.8224
759,0.8885
760,0.9942
761,0.8625
762,0.9784
763,0.0
764,0.0
765,0.8459
766,0.9737
767,0.9701
768,-0.5454
769,0.9702
770,0.1974
771,0.9423
772,0.9423
773,0.9517
774,0.9517
775,0.0
776,0.0
777,0.8847
778,0.8847
779,0.8663
780,-0.0446
781,0.9876
782,0.9956
783,0.9576
784,0.8766
785,0.8717
786,0.0
787,0.9243
788,0.8126
789,0.691
790,0.691
791,-0.7506
792,-0.8049
793,-0.8049
794,0.0
795,0.9719
796,0.9574
797,0.6808
798,0.9571
799,0.872
800,0.9423
801,0.9684
802,0.0
803,0.0
804,0.8885
805,0.8885
806,-0.6808
807,-0.6808
808,0.6808
809,0.986
810,0.872
811,0.8807
812,0.8807
813,0.0
814,0.0745
815,0.0745
816,0.0
817,0.0
818,-0.5499
819,0.0
820,0.0
821,0.6486
822,0.2185
823,0.0
824,0.9755
825,-0.2023
826,-0.7964
827,-0.2023
828,0.0
829,0.9819
830,-0.4291
831,-0.4291
832,0.0
833,0.9913
834,0.9545
835,0.3612
836,0.5719
837,0.5719
838,0.0
839,0.3612
840,0.9545
841,0.974
842,0.2263
843,0.2263
844,-0.5994
845,-0.5994
846,0.4767
847,0.8402
848,0.8402
849,0.5719
850,0.9514
851,-0.4588
852,0.0
853,-0.7906
854,0.2263
855,0.8807
856,0.9858
857,0.9858
858,0.3182
859,-0.7906
860,0.8625
861,0.7351
862,-0.7895
863,-0.7895
864,0.9936
865,0.8806
866,0.682
867,0.0
868,0.9871
869,0.9736
870,-0.5574
871,0.8126
872,-0.5574
873,0.8126
874,-0.5859
875,0.0
876,-0.6808
877,-0.6808
878,-0.5859
879,0.0
880,0.0
881,0.6486
882,0.6486
883,0.9712
884,0.9359
885,0.7096
886,0.888
887,0.0
888,0.8702
889,-0.9943
890,-0.994
891,0.9726
892,0.0
893,0.8126
894,0.8126
895,0.8807
896,0.9807
897,-0.4168
898,-0.8779
899,0.972
900,0.6187
901,0.8625
902,-0.765
903,-0.7615
904,0.8625
905,0.8807
906,-0.8591
907,0.8351
908,-0.8625
909,0.8511
910,0.8511
911,0.4767
912,-0.9741
913,-0.9274
914,-0.1027
915,0.2732
