row_id,phrase_score
210,-0.7579
211,0.5291
212,-0.2263
213,-0.2263
214,-0.2263
215,-0.1154
216,-0.1154
217,-0.1154
218,-0.1154
219,0.9136
220,0.9859
221,0.7503
222,0.4767
223,0.4767
224,0.4767
225,0.9758
226,0.9758
227,-0.9169
228,0.0
229,-0.9914
230,-0.9914
231,-0.9914
232,-0.8799
233,-0.9933
234,-0.931
235,0.705
236,0.8176
237,0.9786
238,0.9786
239,0.9786
240,-0.9921
241,-0.9918
242,-0.9921
243,0.0
244,0.0
245,-0.7003
246,0.0516
247,0.0516
248,0.0516
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,-0.765
256,0.9313
257,0.4767
258,0.4767
259,0.0
260,0.0
261,0.8807
262,0.0
263,0.0
264,-0.9843
265,-0.9831
266,-0.7579
267,0.0
268,0.0
269,0.0
270,0.4767
271,0.4767
272,-0.8799
273,0.0
274,-0.6369
275,-0.6369
276,0.4767
277,0.0
278,0.8442
279,0.8225
280,0.8225
281,0.9231
282,0.9231
283,0.9231
284,-0.0176
285,0.8625
286,-0.5719
287,0.0
288,0.886
289,0.944
290,0.9312
291,0.9312
292,0.0
293,-0.9817
294,0.8519
295,0.7767
296,0.9274
297,0.0
298,0.8157
299,-0.7127
300,0.7269
301,0.5267
302,0.5267
303,-0.9816
304,-0.9495
305,-0.9816
306,0.0
307,-0.9042
308,0.0
309,0.6486
310,-0.995
311,-0.9871
312,-0.3612
313,0.2492
314,-0.4124
315,0.8926
316,0.9125
317,0.8932
318,0.9978
319,-0.0516
320,0.0
321,0.0
322,-0.9817
323,-0.8402
324,-0.9936
325,-0.9944
326,0.0
327,-0.9829
328,0.6705
329,-0.9901
330,-0.6486
331,-0.9863
332,-0.9843
333,0.6705
334,0.6705
335,0.0
336,-0.5859
337,0.9753
338,0.9753
339,0.0
340,0.9468
341,-0.6808
342,0.802
343,0.0772
344,0.0772
345,0.9825
346,0.1901
347,0.3612
348,0.3612
349,0.3612
350,0.9901
351,0.0
352,0.7783
353,0.4767
354,0.0
355,0.9753
356,0.9559
357,-0.6808
358,0.8516
359,0.8516
360,0.0772
361,0.0
362,0.4767
363,0.5927
364,0.6124
365,-0.8847
366,-0.7096
367,0.0
368,-0.9744
369,0.7506
370,-0.4019
371,-0.4019
372,-0.8674
373,-0.8674
374,-0.0516
375,0.0
376,0.0
377,0.7506
378,0.7506
379,0.7506
380,0.9714
381,0.8271
382,0.8271
383,-0.4019
384,0.782
385,-0.9274
386,-0.9274
387,0.7964
388,0.7964
389,0.9476
390,-0.9851
391,0.242
392,-0.836
393,0.3278
394,-0.25
395,0.0
396,0.7096
397,0.7964
398,-0.8126
399,0.0
400,-0.9928
401,-0.9897
402,0.8126
403,0.8519
404,0.8957
405,0.9081
406,0.9081
407,0.9081
408,0.4767
409,-0.8519
410,-0.4215
411,0.5719
412,-0.9153
413,-0.5483
414,-0.8988
415,0.6235
416,-0.7783
417,-0.7783
418,0.9231
419,0.7579
420,0.7579
421,0.8334
422,0.7808
423,0.8334
424,-0.2729
425,-0.2263
426,-0.2263
427,0.9231
428,-0.4588
429,0.0
430,-0.4767
431,-0.9859
432,-0.9847
433,0.34
434,0.9161
435,0.8338
436,0.9161
437,-0.2263
438,-0.2263
439,-0.2263
440,0.8126
441,-0.2263
442,-0.2263
443,0.0
444,0.0
445,0.0
446,0.0
447,-0.9136
448,-0.9136
449,-0.7845
450,-0.7845
451,0.0
452,-0.8288
453,-0.8288
454,-0.8288
455,0.7579
456,-0.9865
457,-0.8639
458,0.9679
459,0.8625
460,0.8625
461,0.9843
