DATE,SENTIMENT,SENTIMENT_PRED
2023-07-24/2023-07-30,0.003386295672236633,-0.019225793987238768
2023-07-31/2023-08-06,-0.10108827036312101,-0.06876536915231415
2023-08-07/2023-08-13,-0.01592655160627884,-0.009033735378832052
2023-08-14/2023-08-20,-0.060106035485528016,-0.033752720364303435
2023-08-21/2023-08-27,0.02730490023750668,0.000455461712911597
2023-08-28/2023-09-03,0.011341263213685863,-0.01484765612110374
2023-09-04/2023-09-10,-0.012273936448339334,-0.06558856684287051
2023-09-11/2023-09-17,-0.013158501169996466,-0.03155370944724705
2023-09-18/2023-09-24,0.02256420926412291,-0.011223331939813981
2023-09-25/2023-10-01,-0.029156393664208916,-0.01835670554109264
2023-10-02/2023-10-08,-0.03492694337519897,-0.043171520552030905
2023-10-09/2023-10-15,-0.10964662414320604,-0.06335202148722797
